,formatted_address,name,opening_hours,place_id,price_level,rating,types,user_ratings_total,website
10,"3400 South Park Rd #4, Bethel Park, PA 15102, United States",Ruthfred Market,{'open_now': False},ChIJhfVuPvz4NIgRP8uJEOTwB2c,,4.6,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",89,https://www.ruthfredmarket.com/
11,"649 Old Clairton Rd, Pleasant Hills, PA 15236, United States",Pleasant Hills Shop 'n Save,{'open_now': False},ChIJl2zBdfz6NIgRn3o-pKqU7kQ,,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",172,https://www.shopnsavefood.com/StoreLocator/Store/?L=1140&S=
12,"3913 Old William Penn Hwy, Murrysville, PA 15668, United States",Ferri's IGA Supermarket,{'open_now': False},ChIJk1ppJZ3BNIgRC53F4QLlaDQ,,4.4,"['grocery_or_supermarket', 'supermarket', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",241,http://shop.ferrissupermarket.com/
13,"799 Castle Shannon Blvd, Pittsburgh, PA 15234, United States",SHOP 'n SAVE,{'open_now': False},ChIJJcHArF_3NIgRDchQsLYMvgk,,4.2,"['grocery_or_supermarket', 'supermarket', 'pharmacy', 'store', 'health', 'food', 'point_of_interest', 'establishment']",954,https://www.shopnsavefood.com/StoreLocator/Store/?L=2413&S=
14,"2329 Murray Ave, Pittsburgh, PA 15217, United States",Squirrel Hill Market,{'open_now': False},ChIJTZI2vU_xNIgRUptka-9QjUw,,5.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",18,http://www.squirrelhillmarket.com/
15,"665 Clairton Blvd, Pleasant Hills, PA 15236, United States",Fresh Thyme Market,{'open_now': False},ChIJrZp1cND7NIgRazlTCTtoDEg,,4.5,"['grocery_or_supermarket', 'supermarket', 'bakery', 'health', 'store', 'food', 'point_of_interest', 'establishment']",817,https://www.freshthyme.com/store-location/pleasant-hills-pennsylvania-15236/?utm_source=google&utm_medium=ll&utm_campaign=GoogleBusiness
16,"2103 Noblestown Rd, Pittsburgh, PA 15205, United States",Shop n Save,{'open_now': False},ChIJUQ4X1CL3NIgR48Zq1qpPfjY,,4.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",176,https://www.shopnsavefood.com/StoreLocator/Store/?L=2412&S=
17,"250 S 3rd St, Youngwood, PA 15697, United States",Shop 'n Save,{'open_now': False},ChIJGS6PZ-3ZNIgRyxcEi7TxbcI,,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",765,http://shopnsavefood.com/
18,"4401 Liberty Ave, Pittsburgh, PA 15224, United States",Bloomfield Community Market,{'open_now': False},ChIJSW9ZdrnzNIgRj9BwbOPANKs,,3.8,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",236,https://communitysupermarket.com/
19,"1223 W Main St, Monongahela, PA 15063, United States",Foodland,{'open_now': False},ChIJ5zpKzVz9NIgRcsXe2kbMsWk,,3.9,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",450,http://www.foodlandstores.com/
